Time,Month,Partner,OrderValue,Commission,Status,LastChanged
3/16/20 9:05:04 AM UTC+3,3,CB,1610,96.6,Approved,5/8/2020 8:44
3/16/20 9:06:03 AM UTC+3,3,SK,26600,1596,Deleted,5/25/2020 15:37
3/16/20 9:09:26 AM UTC+3,3,Other,4200,256.2,Deleted,5/8/2020 7:51
3/16/20 9:10:30 AM UTC+3,3,SK,7245,434.7,Deleted,5/25/2020 15:37
3/16/20 9:09:38 AM UTC+3,3,EP,1050,64.05,Approved,5/8/2020 8:41
3/16/20 9:09:26 AM UTC+3,3,Other,595,36.29,Deleted,5/25/2020 15:37
3/16/20 9:16:39 AM UTC+3,3,EP,7182,438.1,Approved,5/8/2020 8:40
3/16/20 9:22:34 AM UTC+3,3,EP,2800,170.8,Deleted,5/25/2020 15:37
3/16/20 9:27:30 AM UTC+3,3,EP,560,34.16,Approved,5/8/2020 8:44
3/16/20 9:25:39 AM UTC+3,3,EP,2450,149.45,Approved,5/8/2020 8:44
3/16/20 9:37:52 AM UTC+3,3,C4B,4698,281.88,Approved,5/8/2020 8:41
3/16/20 9:41:01 AM UTC+3,3,C4B,8499,509.94,Approved,5/8/2020 8:43
3/16/20 9:46:02 AM UTC+3,3,EP,3640,222.04,Approved,5/8/2020 8:44
3/16/20 9:52:24 AM UTC+3,3,EP,6300,384.3,Approved,5/8/2020 8:43
3/16/20 9:56:13 AM UTC+3,3,EP,3815,232.71,Approved,5/8/2020 8:43
3/16/20 9:56:59 AM UTC+3,3,EP,4690,286.09,Approved,5/8/2020 8:41
